capital,p,mc_ruin,theory,error,avg_steps
10,0.490000,1.000000,1.000000,0.000000,498.889800
10,0.500000,0.990060,0.990000,0.000060,10180.797480
10,0.510000,0.670140,0.670284,0.000144,16031.129800
50,0.490000,1.000000,1.000000,0.000000,2498.336360
50,0.500000,0.951580,0.950000,0.001580,46446.023120
50,0.510000,0.135920,0.135299,0.000621,40682.464400
100,0.490000,1.000000,1.000000,0.000000,5003.001800
100,0.500000,0.896880,0.900000,0.003120,91829.920840
100,0.510000,0.018720,0.018306,0.000414,44107.138440
500,0.490000,1.000000,1.000000,0.000000,24984.363800
500,0.500000,0.499860,0.500000,0.000140,252307.542360
500,0.510000,0.000000,0.000000,0.000000,25007.239160
